,english,polish
44,"At the same time, Japan's fifth generation computer project inspired the U. S. and British governments to restore funding for academic research.",W tym samym czasie japoński projekt komputerowy piątej generacji zainspirował rządy Stanów Zjednoczonych i Wielkiej Brytanii do przywrócenia finansowania badań akademickich.
45,"However, beginning with the collapse of the Lisp Machine market in 1987, AI once again fell into disrepute, and a second, longer-lasting winter began.","Jednak począwszy od załamania się rynku Lisp Machine w 1987 roku, sztuczna inteligencja ponownie straciła na popularności i rozpoczęła się druga, dłuższa zima."
46,"Many researchers began to doubt that the symbolic approach would be able to imitate all the processes of human cognition, especially perception, robotics, learning and pattern recognition.","Wielu badaczy zaczęło wątpić, czy podejście symboliczne będzie w stanie naśladować wszystkie procesy ludzkiego poznania, w szczególności percepcję, robotykę, uczenie się i rozpoznawanie wzorców."
47,"A number of researchers began to look into ""sub-symbolic"" approaches to specific AI problems.","Wielu badaczy zaczęło przyglądać się ""subsymbolicznym"" podejściom do konkretnych problemów związanych ze sztuczną inteligencją."
48,"Robotics researchers, such as Rodney Brooks, rejected symbolic AI and focused on the basic engineering problems that would allow robots to move, survive, and learn their environment.","Badacze robotyki, tacy jak Rodney Brooks, odrzucili symboliczną sztuczną inteligencję i skupili się na podstawowych problemach inżynieryjnych, które pozwoliłyby robotom poruszać się, przetrwać i uczyć się swojego środowiska."
49,"Interest in neural networks and ""connectionism"" was revived by Geoffrey Hinton, David Rumelhart and others in the middle of the 1980s.","Zainteresowanie sieciami neuronowymi i ""koneksjonizmem"" zostało ożywione przez Geoffreya Hintona, Davida Rumelharta i innych w połowie lat 80-tych."
50,"Soft computing tools were developed in the 1980s, such as neural networks, fuzzy systems, Grey system theory, evolutionary computation and many tools drawn from statistics or mathematical optimization.","W latach 80. opracowano narzędzia soft computing, takie jak sieci neuronowe, systemy rozmyte, teoria systemów Greya, obliczenia ewolucyjne i wiele narzędzi zaczerpniętych ze statystyki lub optymalizacji matematycznej."
51,AI gradually restored its reputation in the late 1990s and early 21st century by finding specific solutions to specific problems.,"Sztuczna inteligencja stopniowo odbudowywała swoją reputację pod koniec lat 90. i na początku XXI wieku, znajdując konkretne rozwiązania konkretnych problemów."
52,"The narrow focus allowed researchers to produce verifiable results, exploit more mathematical methods, and collaborate with other fields (such as statistics, economics and mathematics).","Wąskie ukierunkowanie pozwoliło badaczom na uzyskanie weryfikowalnych wyników, wykorzystanie większej liczby metod matematycznych i współpracę z innymi dziedzinami (takimi jak statystyka, ekonomia i matematyka)."
53,"By 2000, solutions developed by AI researchers were being widely used, although in the 1990s they were rarely described as ""artificial intelligence"".","Do 2000 r. rozwiązania opracowane przez badaczy AI były powszechnie stosowane, choć w latach 90. rzadko określano je mianem ""sztucznej inteligencji""."
54,"Faster computers, algorithmic improvements and access to large amounts of data enabled advances in machine learning and perception; data-hungry deep learning methods started to dominate accuracy benchmarks around 2012.","Szybsze komputery, ulepszenia algorytmów i dostęp do dużych ilości danych umożliwiły postępy w uczeniu maszynowym i percepcji; wymagające dużej ilości danych metody głębokiego uczenia zaczęły dominować w testach dokładności około 2012 roku."
55,"According to Bloomberg's Jack Clark, 2015 was a landmark year for artificial intelligence, with the number of software projects that use AI within Google increased from a ""sporadic usage"" in 2012 to more than 2,700 projects.","Według Jacka Clarka z Bloomberga, rok 2015 był przełomowy dla sztucznej inteligencji, a liczba projektów oprogramowania wykorzystujących sztuczną inteligencję w Google wzrosła z ""sporadycznego wykorzystania"" w 2012 roku do ponad 2700 projektów."
56,"He attributed this to an increase in affordable neural networks, due to a rise in cloud computing infrastructure and to an increase in research tools and datasets.","Przypisał to wzrostowi przystępnych cenowo sieci neuronowych, ze względu na wzrost infrastruktury przetwarzania w chmurze oraz wzrost liczby narzędzi badawczych i zbiorów danych."
57,"In a 2017 survey, one in five companies reported they had ""incorporated AI in some offerings or processes"".","W badaniu przeprowadzonym w 2017 r. jedna na pięć firm stwierdziła, że ""włączyła sztuczną inteligencję do niektórych ofert lub procesów""."
58,The amount of research into AI (measured by total publications) increased by 50% in the years 2015–2019.,Liczba badań nad sztuczną inteligencją (mierzona łączną liczbą publikacji) wzrosła o 50% w latach 2015-2019.
59,"Numerous academic researchers became concerned that AI was no longer pursuing the original goal of creating versatile, fully intelligent machines.","Wielu badaczy akademickich zaniepokoiło się, że sztuczna inteligencja nie dąży już do pierwotnego celu, jakim było stworzenie wszechstronnych, w pełni inteligentnych maszyn."
60,"Much of current research involves statistical AI, which is overwhelmingly used to solve specific problems, even highly successful techniques such as deep learning.","Wiele z obecnych badań obejmuje statystyczną sztuczną inteligencję, która jest w przeważającej mierze wykorzystywana do rozwiązywania konkretnych problemów, nawet bardzo udanych technik, takich jak głębokie uczenie się."
61,"This concern has led to the subfield of artificial general intelligence (or ""AGI""), which had several well-funded institutions by the 2010s.","Obawy te doprowadziły do powstania poddziedziny sztucznej inteligencji ogólnej (lub ""AGI""), która do 2010 roku miała kilka dobrze finansowanych instytucji."
62,"In April 2023, computer scientist Jaron Lanier published an alternative view of AI in The New Yorker as less intelligent than the name, and popular culture, may suggest.","W kwietniu 2023 r. informatyk Jaron Lanier opublikował w The New Yorker alternatywne spojrzenie na sztuczną inteligencję jako mniej inteligentną, niż może sugerować nazwa i kultura popularna."
63,"Lanier concludes his essay as follows: ""Think of people.","Lanier kończy swój esej w następujący sposób: ""Myśl o ludziach."
64,People are the answer to the problems of bits.,Ludzie są odpowiedzią na problemy bitów.
65,"""The general problem of simulating (or creating) intelligence has been broken down into sub-problems.","""Ogólny problem symulowania (lub tworzenia) inteligencji został podzielony na podproblemy."
66,These consist of particular traits or capabilities that researchers expect an intelligent system to display.,"Składają się one z określonych cech lub zdolności, których naukowcy oczekują od inteligentnego systemu."
67,The traits described below have received the most attention.,Najwięcej uwagi poświęcono cechom opisanym poniżej.
68,Early researchers developed algorithms that imitated step-by-step reasoning that humans use when they solve puzzles or make logical deductions.,"Pierwsi badacze opracowali algorytmy, które naśladowały rozumowanie krok po kroku, którego ludzie używają podczas rozwiązywania zagadek lub dokonywania logicznych dedukcji."
69,"By the late 1980s and 1990s, AI research had developed methods for dealing with uncertain or incomplete information, employing concepts from probability and economics.","Pod koniec lat 80. i 90. w badaniach nad sztuczną inteligencją opracowano metody radzenia sobie z niepewnymi lub niekompletnymi informacjami, wykorzystując koncepcje z zakresu prawdopodobieństwa i ekonomii."
70,"Many of these algorithms proved to be insufficient for solving large reasoning problems because they experienced a ""combinatorial explosion"": they became exponentially slower as the problems grew larger.","Wiele z tych algorytmów okazało się niewystarczających do rozwiązywania dużych problemów rozumowania, ponieważ doświadczały one ""eksplozji kombinatorycznej"": stawały się wykładniczo wolniejsze, gdy problemy stawały się coraz większe."
71,Even humans rarely use the step-by-step deduction that early AI research could model.,"Nawet ludzie rzadko używają dedukcji krok po kroku, którą wczesne badania nad sztuczną inteligencją mogły modelować."
72,"They solve most of their problems using fast, intuitive judgments.","Większość problemów rozwiązują za pomocą szybkich, intuicyjnych osądów."
73,Knowledge representation and knowledge engineering allow AI programs to answer questions intelligently and make deductions about real-world facts.,Reprezentacja wiedzy i inżynieria wiedzy pozwalają programom AI inteligentnie odpowiadać na pytania i dokonywać dedukcji na temat faktów ze świata rzeczywistego.
74,"A representation of ""what exists"" is an ontology: the set of objects, relations, concepts, and properties formally described so that software agents can interpret them.","Reprezentacją ""tego, co istnieje"" jest ontologia: zbiór obiektów, relacji, pojęć i właściwości formalnie opisanych tak, aby agenci oprogramowania mogli je interpretować."
75,"The most general ontologies are called upper ontologies, which attempt to provide a foundation for all other knowledge and act as mediators between domain ontologies that cover specific knowledge about a particular knowledge domain (field of interest or area of concern).","Najbardziej ogólne ontologie nazywane są ontologiami nadrzędnymi, które starają się zapewnić podstawę dla całej pozostałej wiedzy i działają jako pośrednicy między ontologiami dziedzinowymi, które obejmują konkretną wiedzę na temat określonej dziedziny wiedzy (dziedziny zainteresowania lub obszaru zainteresowania)."
76,A truly intelligent program would also need access to commonsense knowledge; the set of facts that an average person knows.,"Prawdziwie inteligentny program potrzebowałby również dostępu do zdroworozsądkowej wiedzy; zestawu faktów, które zna przeciętny człowiek."
77,"The semantics of an ontology is typically represented in description logic, such as the Web Ontology Language.","Semantyka ontologii jest zazwyczaj reprezentowana w logice opisu, takiej jak Web Ontology Language."
78,"AI research has developed tools to represent specific domains, such as objects, properties, categories and relations between objects; situations, events, states and time; causes and effects; knowledge about knowledge (what we know about what other people know);.","Badania nad sztuczną inteligencją opracowały narzędzia do reprezentowania określonych dziedzin, takich jak obiekty, właściwości, kategorie i relacje między obiektami; sytuacje, zdarzenia, stany i czas; przyczyny i skutki; wiedza o wiedzy (co wiemy o tym, co wiedzą inni ludzie);."
79,default reasoning (things that humans assume are true until they are told differently and will remain true even when other facts are changing); as well as other domains.,"domyślne rozumowanie (rzeczy, które ludzie zakładają, że są prawdziwe, dopóki nie powiedzą im inaczej i pozostaną prawdziwe, nawet jeśli inne fakty ulegną zmianie); a także inne domeny."
80,"Among the most difficult problems in AI are: the breadth of commonsense knowledge (the number of atomic facts that the average person knows is enormous); and the sub-symbolic form of most commonsense knowledge (much of what people know is not represented as ""facts"" or ""statements"" that they could express verbally).","Do najtrudniejszych problemów w sztucznej inteligencji należą: rozległość wiedzy zdroworozsądkowej (liczba faktów atomowych, które zna przeciętny człowiek, jest ogromna); oraz sub-symboliczna forma większości wiedzy zdroworozsądkowej (większość tego, co ludzie wiedzą, nie jest reprezentowana jako ""fakty"" lub ""stwierdzenia"", które mogliby wyrazić werbalnie)."
81,"Formal knowledge representations are used in content-based indexing and retrieval, scene interpretation, clinical decision support, knowledge discovery (mining ""interesting"" and actionable inferences from large databases), and other areas.","Formalne reprezentacje wiedzy są wykorzystywane w indeksowaniu i wyszukiwaniu opartym na treści, interpretacji scen, wspomaganiu decyzji klinicznych, odkrywaniu wiedzy (wydobywaniu ""interesujących"" i przydatnych wniosków z dużych baz danych) i innych obszarach."
82,"Machine learning (ML), a fundamental concept of AI research since the field's inception, is the study of computer algorithms that improve automatically through experience.","Uczenie maszynowe (ML), fundamentalna koncepcja badań nad sztuczną inteligencją od samego początku, to badanie algorytmów komputerowych, które automatycznie poprawiają się dzięki doświadczeniu."
83,Unsupervised learning finds patterns in a stream of input.,Uczenie bez nadzoru znajduje wzorce w strumieniu danych wejściowych.
84,"Supervised learning requires a human to label the input data first, and comes in two main varieties: classification and numerical regression.",Uczenie nadzorowane wymaga najpierw oznaczenia danych wejściowych przez człowieka i występuje w dwóch głównych odmianach: klasyfikacji i regresji numerycznej.
85,Classification is used to determine what category something belongs in – the program sees a number of examples of things from several categories and will learn to classify new inputs.,"Klasyfikacja służy do określenia kategorii, do której coś należy - program widzi wiele przykładów rzeczy z kilku kategorii i uczy się klasyfikować nowe dane wejściowe."
86,Regression is the attempt to produce a function that describes the relationship between inputs and outputs and predicts how the outputs should change as the inputs change.,"Regresja to próba stworzenia funkcji, która opisuje związek między danymi wejściowymi i wyjściowymi oraz przewiduje, w jaki sposób dane wyjściowe powinny się zmieniać wraz ze zmianą danych wejściowych."
87,"Both classifiers and regression learners can be viewed as ""function approximators"" trying to learn an unknown (possibly implicit) function; for example, a spam classifier can be viewed as learning a function that maps from the text of an email to one of two categories, ""spam"" or ""not spam"".","Zarówno klasyfikatory, jak i uczące się regresje mogą być postrzegane jako ""aproksymatory funkcji"" próbujące nauczyć się nieznanej (być może ukrytej) funkcji; na przykład klasyfikator spamu może być postrzegany jako uczący się funkcji, która mapuje z tekstu wiadomości e-mail do jednej z dwóch kategorii, ""spam"" lub ""nie spam""."
88,In reinforcement learning the agent is rewarded for good responses and punished for bad ones.,W uczeniu ze wzmocnieniem agent jest nagradzany za dobre odpowiedzi i karany za złe.
89,The agent classifies its responses to form a strategy for operating in its problem space.,"Agent klasyfikuje swoje odpowiedzi, aby stworzyć strategię działania w swojej przestrzeni problemowej."
90,Transfer learning is when the knowledge gained from one problem is applied to a new problem.,"Transfer learning ma miejsce, gdy wiedza zdobyta na podstawie jednego problemu jest stosowana do nowego problemu."
91,"Computational learning theory can assess learners by computational complexity, by sample complexity (how much data is required), or by other notions of optimization.","Obliczeniowa teoria uczenia się może oceniać uczących się na podstawie złożoności obliczeniowej, złożoności próbki (ile danych jest wymaganych) lub innych pojęć optymalizacji."
92,Natural language processing (NLP)allows machines to read and understand human language.,Przetwarzanie języka naturalnego (NLP) pozwala maszynom czytać i rozumieć ludzki język.
93,"A sufficiently powerful natural language processing system would enable natural-language user interfaces and the acquisition of knowledge directly from human-written sources, such as newswire texts.","Wystarczająco wydajny system przetwarzania języka naturalnego umożliwiłby korzystanie z interfejsów użytkownika w języku naturalnym i pozyskiwanie wiedzy bezpośrednio ze źródeł pisanych przez ludzi, takich jak newswire."
94,"Some straightforward applications of NLP include information retrieval, question answering and machine translation.","Niektóre proste zastosowania NLP obejmują wyszukiwanie informacji, odpowiadanie na pytania i tłumaczenie maszynowe."
95,Symbolic AI used formal syntax to translate the deep structure of sentences into logic.,Symboliczna sztuczna inteligencja wykorzystywała formalną składnię do tłumaczenia głębokiej struktury zdań na logikę.
96,"This failed to produce useful applications, due to the intractability of logic and the breadth of commonsense knowledge.",Nie przyniosło to użytecznych zastosowań ze względu na trudność logiki i rozległość wiedzy zdroworozsądkowej.
97,"Modern statistical techniques include co-occurrence frequencies (how often one word appears near another), ""Keyword spotting"" (searching for a particular word to retrieve information), transformer-based deep learning (which finds patterns in text), and others.","Nowoczesne techniki statystyczne obejmują częstotliwości współwystępowania (jak często jedno słowo pojawia się w pobliżu innego), ""Keyword spotting"" (wyszukiwanie określonego słowa w celu uzyskania informacji), głębokie uczenie oparte na transformatach (które znajduje wzorce w tekście) i inne."
98,"They have achieved acceptable accuracy at the page or paragraph level, and, by 2019, could generate coherent text.","Osiągnęli akceptowalną dokładność na poziomie strony lub akapitu, a do 2019 r. mogli generować spójny tekst."
99,"Machine perceptionis the ability to use input from sensors (such as cameras, microphones, wireless signals, and active lidar, sonar, radar, and tactile sensors) to deduce aspects of the world.","Percepcja maszynowa to zdolność do wykorzystywania danych wejściowych z czujników (takich jak kamery, mikrofony, sygnały bezprzewodowe i aktywne czujniki lidarowe, sonarowe, radarowe i dotykowe) do wnioskowania o aspektach świata."
100,"Applications include speech recognition,facial recognition, and object recognition.","Zastosowania obejmują rozpoznawanie mowy, twarzy i obiektów."
101,Computer vision is the ability to analyze visual input.,Wizja komputerowa to zdolność do analizowania danych wizualnych.
102,"Affective computing is an interdisciplinary umbrella that comprises systems that recognize, interpret, process or simulate human feeling, emotion and mood.","Informatyka afektywna to interdyscyplinarne pojęcie, które obejmuje systemy rozpoznające, interpretujące, przetwarzające lub symulujące ludzkie uczucia, emocje i nastroje."
103,"For example, some virtual assistants are programmed to speak conversationally or even to banter humorously; it makes them appear more sensitive to the emotional dynamics of human interaction, or to otherwise facilitate human–computer interaction.","Na przykład, niektórzy wirtualni asystenci są zaprogramowani tak, aby mówić konwersacyjnie, a nawet żartobliwie; dzięki temu wydają się bardziej wrażliwi na emocjonalną dynamikę interakcji międzyludzkich lub w inny sposób ułatwiają interakcję człowiek-komputer."
104,"However, this tends to give naïve users an unrealistic conception of how intelligent existing computer agents actually are.","Daje to jednak naiwnym użytkownikom nierealistyczne wyobrażenie o tym, jak inteligentni są istniejący agenci komputerowi."
105,"Moderate successes related to affective computing include textual sentiment analysis and, more recently, multimodal sentiment analysis), wherein AI classifies the affects displayed by a videotaped subject.","Umiarkowane sukcesy związane z obliczeniami afektywnymi obejmują tekstową analizę nastrojów, a ostatnio multimodalną analizę nastrojów, w której sztuczna inteligencja klasyfikuje afekty wyświetlane przez osobę nagraną na wideo."
106,A machine with general intelligence can solve a wide variety of problems with breadth and versatility similar to human intelligence.,Maszyna z ogólną inteligencją może rozwiązywać szeroką gamę problemów z rozmachem i wszechstronnością podobną do ludzkiej inteligencji.
107,There are several competing ideas about how to develop artificial general intelligence.,Istnieje kilka konkurujących ze sobą pomysłów na rozwój sztucznej inteligencji ogólnej.
